Velocity,Mach,AoA,CA,CN,CY,Clm,Cmm,Cyawm
102,0.3,0,0.319601,-0.004768,0,0,-0.001642,0
102,0.3,2,0.322115,0.419856,0,0,0.057448,0
102,0.3,4,0.313017,0.85682,0,0,0.114519,0
102,0.3,6,0.290767,1.333218,0,0,0.173415,0
102,0.3,8,0.255697,1.837028,0,0,0.229383,0
170,0.5,0,0.294255,-0.005106,0,0,-0.001869,0
170,0.5,2,0.295752,0.42383,0,0,0.060138,0
170,0.5,4,0.288218,0.87877,0,0,0.122445,0
170,0.5,6,0.265442,1.371173,0,0,0.187586,0
170,0.5,8,0.229207,1.893151,0,0,0.250029,0
204,0.6,0,0.297632,-0.002734,0,0,-0.001257,0
204,0.6,2,0.302094,0.429848,0,0,0.059835,0
204,0.6,4,0.280171,0.847301,0,0,0.116932,0
204,0.6,6,0.256651,1.318655,0,0,0.178604,0
204,0.6,8,0.224751,1.823316,0,0,0.238908,0
238,0.7,0,0.376158,-0.006615,0,0,-0.002192,0
238,0.7,2,0.370628,0.55633,0,0,0.083473,0
238,0.7,4,0.362696,1.17388,0,0,0.175199,0
238,0.7,6,0.33464,1.849124,0,0,0.272942,0
238,0.7,8,0.307627,2.604017,0,0,0.385649,0
278.8,0.83,0,0.389328,-0.005701,0,0,-0.002007,0
278.8,0.83,2,0.394816,0.64432,0,0,0.102522,0
278.8,0.83,4,0.385493,1.371567,0,0,0.222307,0
278.8,0.83,6,0.380377,2.166965,0,0,0.34702,0
278.8,0.83,8,0.393345,2.778356,0,0,0.390038,0
289,0.85,0,0.463484,-0.006736,0,0,-0.002482,0
289,0.85,2,0.4628435,0.7023399,0,0,0.1003768,0
289,0.85,4,0.462203,1.4114158,0,0,0.2032356,0
289,0.85,6,0.4615625,2.1204917,0,0,0.3060944,0
289,0.85,8,0.460922,2.8295676,0,0,0.4089532,0
306,0.9,0,0.741032,-0.008891,0,0,-0.003414,0
306,0.9,2,0.7403915,0.7001849,0,0,0.0994448,0
306,0.9,4,0.739751,1.4092608,0,0,0.2023036,0
306,0.9,6,0.7391105,2.1183367,0,0,0.3051624,0
306,0.9,8,0.73847,2.8274126,0,0,0.4080212,0
323,0.95,0,1.11675,-0.010911,0,0,-0.00412,0
323,0.95,2,1.1161095,0.6981649,0,0,0.0987388,0
323,0.95,4,1.115469,1.4072408,0,0,0.2015976,0
323,0.95,6,1.1148285,2.1163167,0,0,0.3044564,0
323,0.95,8,1.114188,2.8253926,0,0,0.4073152,0
340,1,0,1.339247,-0.016958,0,0,-0.006598,0
340,1,2,1.3386065,0.6921179,0,0,0.0962608,0
340,1,4,1.337966,1.4011938,0,0,0.1991196,0
340,1,6,1.3373255,2.1102697,0,0,0.3019784,0
340,1,8,1.336685,2.8193456,0,0,0.4048372,0
357,1.05,0,1.133795,-0.012498,0,0,-0.004735,0
357,1.05,2,1.1331545,0.6965779,0,0,0.0981238,0
357,1.05,4,1.132514,1.4056538,0,0,0.2009826,0
357,1.05,6,1.1318735,2.1147297,0,0,0.3038414,0
357,1.05,8,1.131233,2.8238056,0,0,0.4067002,0
374,1.1,0,0.811198,-0.006014,0,0,-0.001621,0
374,1.1,2,0.8105575,0.7030619,0,0,0.1012378,0
374,1.1,4,0.809917,1.4121378,0,0,0.2040966,0
374,1.1,6,0.8092765,2.1212137,0,0,0.3069554,0
374,1.1,8,0.808636,2.8302896,0,0,0.4098142,0
408,1.2,0,0.284298,-0.003127,0,0,-0.001207,0
408,1.2,2,0.2836575,0.7059489,0,0,0.1016518,0
408,1.2,4,0.283017,1.4150248,0,0,0.2045106,0
408,1.2,6,0.2823765,2.1241007,0,0,0.3073694,0
408,1.2,8,0.281736,2.8331766,0,0,0.4102282,0
510,1.5,0,0.690386,0.031154,0,0,0.00454,0
510,1.5,2,0.6897455,0.7402299,0,0,0.1073988,0
510,1.5,4,0.689105,1.4493058,0,0,0.2102576,0
510,1.5,6,0.6884645,2.1583817,0,0,0.3131164,0
510,1.5,8,0.687824,2.8674576,0,0,0.4159752,0
