Time(s),Thrust(N),Propellant Mass(G1;g),Propellant Mass(G2;g),Propellant Mass(G3;g),Propellant Mass(G4;g),Propellant Mass(G5;g),Propellant Mass(G6;g),Propellant Mass(G7;g)
0,0,50.78607,170.31435,24.2093,12.04071,35.70896,46.35279,35.90447
0.01,207.98218,50.78607,170.31435,24.2093,12.04071,35.70896,46.35279,35.90447
0.02,207.30805,50.66828,170.16024,24.18606,12.02848,35.55833,46.18192,35.5331
0.03,206.92471,50.55114,170.00541,24.16274,12.01621,35.40844,46.01185,35.16268
0.04,206.65975,50.43412,169.84917,24.13921,12.00384,35.25862,45.84179,34.79538
0.05,206.63318,50.31715,169.69146,24.11547,11.99137,35.1088,45.67168,34.43318
0.06,206.53961,50.20024,169.53225,24.09152,11.97879,34.95896,45.50149,34.07676
0.07,206.50167,50.08332,169.37148,24.06734,11.9661,34.80906,45.33116,33.72576
0.08,206.45748,49.96642,169.20919,24.04295,11.9533,34.6591,45.16073,33.37924
0.09,206.42482,49.84953,169.04534,24.01833,11.94039,34.50908,44.99016,33.03697
0.1,206.45836,49.73264,168.87995,23.9935,11.92737,34.35901,44.81948,32.69113
0.11,206.41464,49.61577,168.71301,23.96844,11.91423,34.20888,44.64867,32.35138
0.12,206.41496,49.49888,168.5445,23.94316,11.90099,34.05869,44.47773,32.01081
0.13,206.34608,49.382,168.37445,23.91766,11.88764,33.90845,44.30668,31.67556
0.14,206.31361,49.26512,168.20285,23.89194,11.87417,33.75816,44.13552,31.33887
0.15,206.3328,49.14826,168.0297,23.866,11.8606,33.60784,43.96425,31.00649
0.16,206.34975,49.0314,167.85501,23.83984,11.84691,33.45747,43.79288,30.67772
0.17,206.35625,48.91453,167.67876,23.81345,11.83312,33.30706,43.62139,30.34849
0.18,206.31575,48.79766,167.50094,23.78684,11.81921,33.15661,43.4498,30.02189
0.19,206.31022,48.6808,167.32157,23.76001,11.80519,33.00612,43.2781,29.6979
0.2,206.26822,48.56393,167.14066,23.73296,11.79106,32.8556,43.1063,29.37746
0.21,206.32724,48.44707,166.95819,23.70568,11.77682,32.70505,42.93442,29.05787
0.22,206.26347,48.33022,166.77417,23.67819,11.76247,32.55449,42.76245,28.73849
0.23,206.28797,48.21336,166.58858,23.65047,11.748,32.40389,42.59037,28.41872
0.24,206.25312,48.0965,166.40146,23.62253,11.73343,32.25328,42.41822,28.09983
0.25,206.20812,47.97965,166.21277,23.59436,11.71874,32.10264,42.24598,27.7838
0.26,206.13979,47.8628,166.02254,23.56598,11.70395,31.952,42.07367,27.46784
0.27,206.15015,47.74595,165.83076,23.53738,11.68904,31.80136,41.90128,27.15546
0.28,206.16282,47.62912,165.63745,23.50855,11.67403,31.65072,41.72884,26.84667
0.29,206.16511,47.51228,165.44258,23.47951,11.6589,31.50008,41.55633,26.54142
0.3,206.11408,47.39545,165.24615,23.45024,11.64367,31.34943,41.38374,26.24195
0.31,206.12757,47.27861,165.04817,23.42075,11.62832,31.19877,41.21109,25.94441
0.32,206.09223,47.16178,164.84864,23.39104,11.61286,31.04814,41.03838,25.64778
0.33,206.09204,47.04495,164.64756,23.36111,11.59729,30.8975,40.86561,25.3521
0.34,206.07329,46.92813,164.44493,23.33095,11.58161,30.74688,40.69279,25.05871
0.35,206.11923,46.8113,164.24075,23.30058,11.56582,30.59628,40.51992,24.76607
0.36,206.03823,46.69448,164.03502,23.26998,11.54991,30.44569,40.347,24.47578
0.37,206.01535,46.57765,163.82772,23.23916,11.5339,30.29512,40.17402,24.18763
0.38,205.99807,46.46084,163.61889,23.20812,11.51778,30.14458,40.00102,23.90019
0.39,205.99674,46.34403,163.40851,23.17686,11.50154,29.99407,39.82798,23.61613
0.4,205.96199,46.22722,163.19658,23.14538,11.4852,29.84359,39.6549,23.33438
0.41,205.93276,46.11041,162.9831,23.11367,11.46874,29.69315,39.48179,23.05394
