Time(s),Thrust(N),Propellant Mass(G1;g),Propellant Mass(G2;g),Propellant Mass(G3;g),Propellant Mass(G4;g)
0,0,48.24677,149.52512,24.5536,10.3878
0.01,127.92208,48.24677,149.52512,24.5536,10.3878
0.02,127.66335,48.12227,149.30965,24.41261,10.20153
0.03,127.45381,47.99837,149.09387,24.27226,10.01985
0.04,127.26593,47.87455,148.87688,24.13194,9.84058
0.05,127.10218,47.75078,148.65867,23.99167,9.66305
0.06,126.93306,47.62708,148.43922,23.85141,9.48713
0.07,126.75033,47.50342,148.21854,23.71119,9.31307
0.08,126.57953,47.37981,147.99662,23.57099,9.14213
0.09,126.40159,47.25626,147.77348,23.43082,8.97381
0.1,126.25373,47.13275,147.54912,23.2907,8.80665
0.11,126.08155,47.0093,147.32356,23.15062,8.64296
0.12,125.91377,46.8859,147.09677,23.01057,8.48063
0.13,125.74864,46.76254,146.86877,22.87057,8.31968
0.14,125.5807,46.63924,146.63958,22.73062,8.16058
0.15,125.43085,46.51598,146.40919,22.59073,8.00364
0.16,125.26725,46.39277,146.17761,22.45089,7.84835
0.17,125.0674,46.26961,145.94483,22.31111,7.69405
0.18,124.91996,46.1465,145.71087,22.1714,7.5426
0.19,124.79061,46.02345,145.47576,22.03176,7.39364
0.2,124.61036,45.90044,145.23946,21.89219,7.24569
0.21,124.44109,45.77747,145.00198,21.75268,7.09809
0.22,124.30615,45.65455,144.76334,21.61325,6.95175
0.23,124.14662,45.53169,144.52356,21.47391,6.80633
0.24,123.96662,45.40886,144.2826,21.33465,6.6627
0.25,123.82825,45.28608,144.0405,21.19547,6.51988
0.26,123.66525,45.16336,143.79726,21.05639,6.38078
0.27,123.5096,45.04068,143.55287,20.91739,6.24493
0.28,123.36186,44.91805,143.30735,20.7785,6.11153
0.29,123.22384,44.79546,143.06071,20.63971,5.98062
0.3,123.07017,44.67292,142.81293,20.50101,5.85118
0.31,122.93473,44.55042,142.56402,20.36242,5.72215
0.32,122.77374,44.42797,142.31399,20.22394,5.59571
0.33,122.6207,44.30556,142.06283,20.08557,5.47068
0.34,122.47111,44.18319,141.81058,19.94732,5.34766
0.35,122.33009,44.06087,141.55722,19.80918,5.2255
0.36,122.18192,43.9386,141.30277,19.67117,5.1056
0.37,122.05262,43.81637,141.04721,19.53329,4.98692
0.38,121.90176,43.69419,140.79056,19.39553,4.87012
0.39,121.75384,43.57204,140.53281,19.2579,4.75486
0.4,121.60729,43.44994,140.27399,19.1204,4.64091
0.41,121.43442,43.32789,140.01408,18.98305,4.52845
0.42,121.23571,43.20588,139.75311,18.84584,4.41853
0.43,121.03204,43.08392,139.49108,18.70878,4.31046
0.44,120.82071,42.96203,139.22803,18.57189,4.20414
0.45,120.61308,42.84019,138.96395,18.43517,4.09941
0.46,120.41471,42.71842,138.69887,18.29863,3.99528
0.47,120.21713,42.59671,138.43278,18.16227,3.89287
0.48,120.03473,42.47507,138.16568,18.02609,3.79377
0.49,119.86071,42.35348,137.89758,17.8901,3.69711
0.5,119.66617,42.23195,137.62847,17.75428,3.60171
0.51,119.45003,42.11048,137.35835,17.61865,3.50697
0.52,119.27278,41.98906,137.08725,17.48322,3.41304
0.53,119.10162,41.86771,136.81517,17.34798,3.32224
0.54,118.91949,41.74641,136.54211,17.21294,3.23345
0.55,118.73665,41.62517,136.26806,17.07809,3.14596
0.56,118.54259,41.50398,135.99303,16.94345,3.05941
0.57,118.36663,41.38285,135.71702,16.80901,2.97305
0.58,118.2064,41.26178,135.44006,16.67478,2.88931
0.59,118.02228,41.14077,135.16214,16.54076,2.80738
0.6,117.83226,41.0198,134.88324,16.40695,2.72611
0.61,117.68075,40.89889,134.60339,16.27336,2.64713
0.62,117.52422,40.77804,134.3226,16.13999,2.57071
0.63,117.36338,40.65724,134.04084,16.00683,2.49747
0.64,117.19483,40.53648,133.75813,15.8739,2.42521
0.65,117.02607,40.41578,133.47448,15.74118,2.35315
0.66,116.89541,40.29512,133.18988,15.6087,2.28083
0.67,116.71356,40.17452,132.90435,15.47645,2.20984
0.68,116.54161,40.05396,132.61787,15.34442,2.14008
0.69,116.38587,39.93346,132.33048,15.21264,2.0725
0.7,116.23065,39.81301,132.04217,15.0811,2.00663
0.71,116.09162,39.69261,131.75294,14.9498,1.94231
0.72,115.93145,39.57226,131.46279,14.81875,1.8793
0.73,115.78931,39.45195,131.17171,14.68793,1.81764
0.74,115.66278,39.33169,130.87973,14.55737,1.75742
0.75,115.50918,39.21148,130.58683,14.42706,1.69834
0.76,115.38206,39.09131,130.29301,14.29699,1.64059
0.77,115.24531,38.97118,129.9983,14.16719,1.58413
0.78,115.09303,38.8511,129.70267,14.03763,1.52867
0.79,114.96407,38.73105,129.40615,13.90834,1.47433
0.8,114.83387,38.61106,129.10874,13.77932,1.42123
0.81,114.71267,38.4911,128.81043,13.65056,1.36934
0.82,114.56659,38.37119,128.51123,13.52206,1.31868
