AoA,Mach,Velocity,CXu,CYv,CZw,Clp,Cmq,Cnr
0,0.3,102,-0.000372735294117649,0,-4.97058823529351e-06,-0.3,-1.8,-2.07
0,0.324489795918367,110.326530612245,-0.000372735294117639,0,-4.97058823529434e-06,-0.3,-1.8,-2.07
0,0.348979591836735,118.65306122449,-0.000372735294117636,0,-4.97058823529404e-06,-0.3,-1.8,-2.07
0,0.373469387755102,126.979591836735,-0.000372735294117672,0,-4.97058823529371e-06,-0.3,-1.8,-2.07
0,0.397959183673469,135.30612244898,-0.000372735294117627,0,-4.97058823529445e-06,-0.3,-1.8,-2.07
0,0.422448979591837,143.632653061224,-0.000372735294117659,0,-4.97058823529383e-06,-0.3,-1.8,-2.07
0,0.446938775510204,151.959183673469,-0.000372735294117656,0,-4.97058823529419e-06,-0.3,-1.8,-2.07
0,0.471428571428571,160.285714285714,-0.000372735294117649,0,-4.97058823529392e-06,-0.3,-1.8,-2.07
0,0.495918367346939,168.612244897959,-0.000330968772694273,0,-1.64179375453828e-06,-0.3,-1.8,-2.07
0,0.520408163265306,176.938775510204,-9.93235294117616e-05,0,-6.9764705882353e-05,-0.3,-1.8,-2.07
0,0.544897959183673,185.265306122449,-9.9323529411783e-05,0,-6.9764705882353e-05,-0.3,-1.8,-2.07
0,0.569387755102041,193.591836734694,-9.93235294117615e-05,0,-6.9764705882353e-05,-0.3,-1.8,-2.07
0,0.593877551020408,201.918367346939,-9.93235294117674e-05,0,-6.97647058823529e-05,-0.3,-1.8,-2.07
0,0.618367346938775,210.244897959184,-0.00230958823529412,0,-0.000114147058823529,-0.3,-1.8,-2.07
0,0.642857142857143,218.571428571429,-0.00230958823529411,0,-0.000114147058823529,-0.3,-1.8,-2.07
0,0.66734693877551,226.897959183673,-0.00230958823529411,0,-0.00011414705882353,-0.3,-1.8,-2.07
0,0.691836734693878,235.224489795918,-0.00230958823529411,0,-0.000114147058823529,-0.3,-1.8,-2.07
0,0.716326530612245,243.551020408163,-0.000297963800904982,0,-2.06787330316742e-05,-0.3,-1.8,-2.07
0,0.740816326530612,251.877551020408,-0.00029796380090498,0,-2.06787330316742e-05,-0.3,-1.8,-2.07
0,0.76530612244898,260.204081632653,-0.000297963800904978,0,-2.0678733031674e-05,-0.3,-1.8,-2.07
0,0.789795918367347,268.530612244898,-0.000297963800904979,0,-2.06787330316743e-05,-0.3,-1.8,-2.07
0,0.814285714285714,276.857142857143,-0.000744909502262443,0,-5.16968325791855e-05,-0.3,-1.33714285714286,-1.53771428571429
0,0.838775510204082,285.183673469388,-0.0272632352941176,0,-0.000380514705882353,-0.3,-1.46938775510204,-1.68979591836735
0,0.863265306122449,293.510204081633,-0.0386501416566627,0,-0.000300096038415365,-0.3,-1.60163265306122,-1.84187755102041
0,0.887755102040816,301.836734693878,-0.0346518511404562,0,-0.000269051620648259,-0.3,-1.73387755102041,-1.99395918367347
0,0.912244897959184,310.163265306122,-0.0414958655462185,0,-0.000223097238895559,-0.3,-1.86612244897959,-2.14604081632653
0,0.936734693877551,318.489795918367,-0.0360833613445379,0,-0.000193997599039617,-0.3,-1.99836734693877,-2.29812244897959
